time,id,x,y,vx,vy,ax,ay,fx,fy
1.8000,C,20.073732,49.838677,12.073885,-9.161066,1.091704,-10.084359,12.008747,-110.927948
1.9000,A,42.256458,9.104409,21.194839,-9.902302,0.595644,-9.954103,11.912886,-199.082056
1.9000,B,34.532073,18.735357,17.412359,-10.246528,1.206137,-10.116411,12.061370,-101.164106
1.9000,C,21.292038,48.821728,12.183057,-10.169497,1.091712,-10.084315,12.008832,-110.927460
2.0000,A,44.381898,8.014635,21.254403,-10.897742,0.595641,-9.954400,11.912812,-199.087994
2.0000,B,36.285368,17.609544,17.532956,-11.258130,1.205974,-10.116017,12.059740,-101.160167
2.0000,C,22.521261,47.703935,12.292228,-11.177924,1.091718,-10.084271,12.008901,-110.926979
2.1000,A,46.513295,6.825314,21.313968,-11.893210,0.595650,-9.954682,11.912997,-199.093637
2.1000,B,38.050722,16.382574,17.653537,-12.269695,1.205812,-10.115655,12.058123,-101.156555
2.1000,C,23.761401,46.485301,12.401401,-12.186347,1.091723,-10.084228,12.008955,-110.926509
2.2000,A,48.650648,5.536444,21.373535,-12.888705,0.595670,-9.954949,11.913401,-199.098984
2.2000,B,39.828132,15.054452,17.774103,-13.281228,1.205653,-10.115324,12.056530,-101.153241
2.2000,C,25.012458,45.165824,12.510573,-13.194766,1.091727,-10.084186,12.008994,-110.926048
2.3000,A,50.793959,4.148021,21.433105,-13.884225,0.595699,-9.955202,11.913984,-199.104040
2.3000,B,41.617598,13.625179,17.894652,-14.292730,1.205497,-10.115020,12.054971,-101.150198
2.3000,C,26.274433,43.745506,12.619746,-14.203180,1.091729,-10.084145,12.009021,-110.925597
2.4000,A,52.943226,2.660044,21.492678,-14.879769,0.595736,-9.955441,11.914715,-199.108811
2.4000,B,43.419116,12.094758,18.015187,-15.304204,1.205345,-10.114740,12.053452,-101.147403
2.4000,C,27.547325,42.224347,12.728919,-15.211591,1.091731,-10.084105,12.009036,-110.925156
2.5000,A,55.098452,1.072511,21.552256,-15.875335,0.595778,-9.955665,11.915564,-199.113307
2.5000,B,45.232687,10.463193,18.135707,-16.315652,1.205198,-10.114483,12.051979,-101.144835
2.5000,C,28.831134,40.602347,12.838092,-16.219997,1.091731,-10.084066,12.009040,-110.924726
2.6000,A,57.259636,0.000000,21.611839,0.000000,0.595825,-9.955877,11.916507,-199.117539
2.6000,B,47.058313,8.730484,18.256256,-17.327087,1.205491,-10.114345,12.054910,-101.143450
2.6000,C,30.125861,38.879507,12.947267,-17.228401,1.091744,-10.084038,12.009187,-110.924419
2.7000,A,59.426775,0.000000,21.671389,0.000000,0.595506,-9.955992,11.910117,-199.119844
2.7000,B,48.896005,6.896633,18.376924,-18.338510,1.206678,-10.114230,12.066784,-101.142299
2.7000,C,31.431505,37.055827,13.056445,-18.236804,1.091785,-10.084028,12.009635,-110.924311
2.8000,A,61.599858,0.000000,21.730831,0.000000,0.594413,-9.956136,11.888265,-199.122713
2.8000,B,50.745777,4.961645,18.497719,-19.349888,1.207958,-10.113783,12.079581,-101.137829
2.8000,C,32.748068,35.131306,13.165628,-19.245206,1.091830,-10.084017,12.010126,-110.924189
2.9000,A,63.778874,0.000000,21.790158,0.000000,0.593277,-9.956670,11.865534,-199.133394
2.9000,B,52.607640,2.925527,18.618635,-20.361177,1.209154,-10.112893,12.091543,-101.128934
2.9000,C,34.075550,33.105946,13.274816,-20.253606,1.091878,-10.084004,12.010662,-110.924045
3.0000,A,65.963813,0.000000,21.849396,0.000000,0.592375,-9.957686,11.847491,-199.153728
3.0000,B,54.481604,0.788294,18.739634,-21.372331,1.209992,-10.111542,12.099916,-101.115417
3.0000,C,35.413951,30.979745,13.384009,-21.262005,1.091931,-10.083988,12.011244,-110.923866
3.1000,A,68.154674,0.000000,21.908602,0.000000,0.592060,-9.959069,11.841209,-199.181384
3.1000,B,56.367669,0.000000,18.860652,0.000000,1.210184,-10.109884,12.101841,-101.098843
3.1000,C,36.763272,28.752705,13.493212,-22.270404,1.092025,-10.083996,12.012271,-110.923956
3.2000,A,70.351457,0.000000,21.967837,0.000000,0.592355,-9.959590,11.847094,-199.191800
3.2000,B,58.265831,0.000000,18.981624,0.000000,1.209716,-10.109250,12.097161,-101.092495
3.2000,C,38.123515,26.424824,13.602427,-23.278806,1.092151,-10.084014,12.013660,-110.924152
3.3000,A,72.554168,0.000000,22.027104,0.000000,0.592664,-9.959598,11.853278,-199.191969
3.3000,B,60.176086,0.000000,19.102543,0.000000,1.209192,-10.109208,12.091924,-101.092076
3.3000,C,39.494680,23.996103,13.711656,-24.287208,1.092292,-10.084022,12.015215,-110.924240
3.4000,A,74.762807,0.000000,22.086398,0.000000,0.592940,-9.959613,11.858797,-199.192256
3.4000,B,62.098427,0.000000,19.223412,0.000000,1.208684,-10.109170,12.086841,-101.091697
3.4000,C,40.876770,21.466542,13.820901,-25.295609,1.092449,-10.084015,12.016936,-110.924169
3.5000,A,76.977379,0.000000,22.145716,0.000000,0.593188,-9.959634,11.863751,-199.192683
3.5000,B,64.032850,0.000000,19.344230,0.000000,1.208185,-10.109141,12.081854,-101.091415
3.5000,C,42.269787,18.836141,13.930163,-26.304008,1.092619,-10.083989,12.018810,-110.923875
3.6000,A,79.197885,0.000000,22.205058,0.000000,0.593412,-9.959664,11.868241,-199.193271
3.6000,B,65.979350,0.000000,19.464999,0.000000,1.207692,-10.109131,12.076925,-101.091310
3.6000,C,43.673731,16.104901,14.039443,-27.312402,1.092800,-10.083934,12.020797,-110.923279
3.7000,A,81.424327,0.000000,22.264420,0.000000,0.593618,-9.959701,11.872367,-199.194029
3.7000,B,67.937922,0.000000,19.585720,0.000000,1.207206,-10.109149,12.072058,-101.091493
3.7000,C,45.088605,13.272823,14.148741,-28.320786,1.092984,-10.083845,12.022819,-110.922297
3.8000,A,83.656707,0.000000,22.323801,0.000000,0.593812,-9.959748,11.876230,-199.194956
3.8000,B,69.908561,0.000000,19.706393,0.000000,1.206732,-10.109209,12.067323,-101.092087
3.8000,C,46.514411,10.339907,14.258057,-29.329158,1.093159,-10.083714,12.024749,-110.920851
3.9000,A,85.895027,0.000000,22.383200,0.000000,0.593996,-9.959802,11.879928,-199.196031
3.9000,B,71.891263,0.000000,19.827022,0.000000,1.206288,-10.109320,12.062878,-101.093203
3.9000,C,47.951150,7.306156,14.367388,-30.337511,1.093309,-10.083536,12.026402,-110.918898
4.0000,A,88.139289,0.000000,22.442618,0.000000,0.594177,-9.959861,11.883546,-199.197214
4.0000,B,73.886024,0.000000,19.947612,0.000000,1.205897,-10.109488,12.058965,-101.094875
